ID,Prev crop,PU?,Year,State,CRD,County,Location,Fld,Latitude,Longitude,Sandy?,Muck?,Soil texture,Soil assoc.,Manure,Irrig,Hybrid,Plt date,Ntiming,Nsource,Model,a,b,c,AONR,Opt. yld,R-sq,EONR
NR-222,Corn,no,2014,IN,NW,Pulaski,Fritz - Non-irrig,Fld 401,,,yes,no,LfS,Maumee,no,no,LG 2620 VT3 RIB,3-May,SD,NH3,QP,-7.6352,1.5308,-4.01E-03,191,138.6,0.6,177
NR-223,Soy,no,2014,IN,NC,Cass,Guy,Fikes,,,no,no,SiL,Cyclone,no,no,Becks 5385A3,30-Apr,Avg,NH3,QP,136,0.7086,-1.80E-03,197,205.7,0.99,166
NR-224,Corn,no,2014,IN,NW,Jasper,Kingma,Kniman,,,yes,no,"S, LS","Watseka-Maumee, Zadog-Maumee",no,yes,DK61-16,9-May,SD,NH3,QP,40.488,1.0157,-1.59E-03,287,201,0.99,284
NR-225,Corn,no,2014,IN,NC,St. Joseph,Lichtenbarger,Gumz F,,,no,yes,Muck,Moston,no,no,Avg of 2,3-Jun,SD,UAN,NR,-,-,-,123,155,,123
NR-226,Wheat,no,2014,MI,MI,Clinton MI,Motz,FMO,,,yes,no,SL,not known,no,yes,GL 4699,25-May,SD,UAN,QP,107.9,1.1002,-2.62E-03,210.5,223.7,0.97,189
NR-227,Soy,yes,2014,IN,NE,Whitley,NEPAC - L5,L5,41.11445726,-85.44242263,no,no,"SiL, L, SL","Blount, Mermill+Haskins, Boyer+Rawson",no,no,P1221AMXT,22-May,Avg,UAN,QP,53.8285,0.913,-1.55E-03,268,187.2,0.99,258
NR-228,Soy,no,2014,IN,EC,Henry,Pickering,Fld 1801,,,no,no,"SiL, SiCl","Celina, Cyclone",yes,no,DK 61-88,8-May,SD,UAN,QP,226,0.1057,-3.00E-04,160,235.2,0.78,-11
NR-229,Soy,yes,2014,IN,NW,Porter,PPAC - A4,A4,41.45145997,-86.94347262,no,no,L,Sebewa,no,no,P1221AMXT,6-May,Avg,UAN,QP,77.7104,1.1106,-2.46E-03,225.3,202.8,0.99,203
NR-230,Soy,yes,2014,IN,NW,Porter,PPAC - J,J,41.44364322,-86.93587661,no,yes,Muck,"Edwards, Palm",no,no,,,SD,UAN,NR,-,-,-,63,163,,63
NR-231,Soy,yes,2014,IN,NW,La Porte,PPAC - M1,M1,,,yes,no,SL,Tracy,no,no,Becks 6175AMX,19-May,plt,UAN,QP,128.5,0.7908,-1.86E-03,212.8,212.6,0.99,182
NR-232,Soy,yes,2014,IN,SE,Jennings,SEPAC - G8,G8,39.03978632,-85.53082824,no,no,SiL,"Nabb, Oldenburg, Ryker-Muscatuck",no,no,P1498AM,5-May,Avg,UAN,QP,75.36,1.2577,-2.78E-03,226.7,217.9,0.99,206
NR-233,Soy,no,2014,IN,EC,Grant,Sieber,Childs,,,no,no,"SiCL, SiL","Pewamo, Blount",no,no,,,SD,UAN,QP,136.6,0.8015,-1.63E-03,245.7,235,0.91,211
